name,age,latitude,longitude
1,20,53.080639,70.234333
2,20,53.080639,70.234333
3,20,53.080639,70.234333
4,20,53.080639,70.234333
5,20,53.080639,70.234333
6,20,53.080639,70.234333
7,20,53.080639,70.234333
8,20,53.080639,70.234333
9,20,53.080639,70.234333
10,20,53.080639,70.234333
11,20,53.080639,70.234333
12,20,53.080639,70.234333
13,20,53.080639,70.234333
14,20,53.080639,70.234333
15,20,53.080639,70.234333
16,20,53.080639,70.234333
17,20,53.080639,70.234333
18,20,53.080639,70.234333
19,20,53.080639,70.234333
20,20,53.080639,70.234333
21,20,53.080639,70.234333
22,20,53.080639,70.234333
23,20,53.080639,70.234333
24,20,53.080639,70.234333
25,20,53.080639,70.234333
26,20,53.080639,70.234333
27,20,53.080639,70.234333
28,20,53.080639,70.234333
29,20,53.080639,70.234333
30,20,53.080639,70.234333
31,65,52.91357,70.604645
32,55,52.942956,70.319616
33,55,52.942956,70.319616
34,55,53.032746,70.229886
35,55,53.032746,70.229886
36,55,53.032746,70.229886
37,76,52.914113,70.603481
38,79,52.915307,70.603498
39,109,52.91581,70.602992
40,111,52.91587,70.602972
41,113,52.915778,70.602935
42,114,52.915854,70.602773
43,120,52.914186,70.603368
44,108,52.914203,70.603601
45,110,52.9143,70.603843
46,130,52.913899,70.603453
47,142,52.913645,70.604007
48,103,52.91343,70.603986
49,111,52.913399,70.604031
50,166,52.9136,70.604655
51,111,52.913482,70.604903
52,120,52.913641,70.604539
53,119,52.915159,70.603919
54,112,52.915204,70.603753
55,110,52.915241,70.603738
56,121,52.914285,70.603639
57,120,52.914149,70.603933
58,137,52.914026,70.603714
59,120,52.913974,70.603749
60,120,52.913899,70.603411
61,120,52.913777,70.603546
62,120,52.913586,70.603956
63,120,52.913529,70.604038
64,120,52.913641,70.604539
65,210,52.963644,70.433961
66,210,52.963644,70.433961
67,224,52.914404,70.602714